id,name,description,price,stock_quantity,category_id,created_at
1,Laptop Pro 15,High-performance laptop with 16GB RAM and 512GB SSD,1299.99,25,1,2024-01-05
2,Wireless Mouse,Ergonomic wireless mouse with long battery life,29.99,150,1,2024-01-06
3,Mechanical Keyboard,RGB backlit mechanical keyboard with blue switches,89.99,80,1,2024-01-07
4,Smartphone X,Latest smartphone with 128GB storage and triple camera,899.99,45,2,2024-01-08
5,Tablet Air,10-inch tablet with stylus support,499.99,60,2,2024-01-09
6,Smart Watch,Fitness tracking smartwatch with heart rate monitor,199.99,100,2,2024-01-10
7,Headphones Pro,Noise-cancelling wireless headphones,249.99,75,3,2024-01-11
8,Bluetooth Speaker,Portable waterproof Bluetooth speaker,79.99,120,3,2024-01-12
9,USB-C Cable,High-speed USB-C charging cable 6ft,19.99,200,4,2024-01-13
10,Power Bank,20000mAh portable power bank with fast charging,49.99,90,4,2024-01-14

