source_id,target_id,connected_date,strength
209,4300,2024-09-04,0.64
1187,3886,2021-02-13,0.62
687,2682,2023-05-05,0.87
3515,2109,2024-05-09,0.11
1572,2636,2022-04-22,0.51
3881,4098,2023-05-04,0.89
4095,2778,2021-12-06,0.33
3575,631,2023-04-16,0.73
227,1977,2024-08-29,0.8
2128,1206,2024-09-26,0.26
1721,3297,2024-03-15,0.85
3731,1690,2021-01-04,0.15
1443,1438,2023-08-10,0.23
847,872,2024-04-08,0.17
3808,3040,2023-08-26,0.9
3490,4971,2020-09-04,0.97
874,3465,2020-12-02,0.15
2413,1292,2023-06-17,0.89
3048,935,2021-08-14,0.34
4526,3311,2023-03-27,0.6
266,3071,2020-12-25,0.95
3481,4740,2020-01-17,0.29
1468,1534,2020-03-01,0.91
3386,4659,2024-06-15,0.59
784,2181,2021-01-12,0.71
2201,4059,2024-08-24,0.17
3460,4476,2020-02-21,0.88
3692,3806,2024-12-14,0.9
159,1770,2024-07-09,1.0
3278,1590,2022-07-01,0.9
323,2806,2023-11-04,0.11
270,2386,2023-04-09,0.28
1514,3386,2024-09-06,0.51
2080,2291,2022-02-10,0.62
927,3610,2020-11-23,0.61
3634,3550,2021-05-09,0.92
44,4424,2021-03-31,0.96
267,3258,2024-03-28,0.94
2131,499,2020-11-16,0.89
4506,2663,2020-08-10,0.73
1794,4954,2021-04-05,0.21
1295,4041,2021-01-04,0.59
713,1312,2023-03-18,0.21
3176,1821,2021-12-13,0.69
2446,4614,2024-07-31,0.49
1028,3527,2024-01-11,0.48
3237,2713,2024-08-14,0.25
1362,4530,2023-08-12,0.37
1683,4818,2022-09-28,0.34
4804,3061,2020-02-17,0.51
5,4143,2024-10-25,0.59
2469,23,2022-05-07,0.77
2977,3382,2024-09-29,0.88
1390,366,2023-01-22,0.11
847,4629,2024-09-21,0.86
4875,381,2020-12-05,0.27
637,3043,2024-05-09,0.84
2452,1952,2023-06-23,0.13
2123,4442,2023-03-18,0.92
4791,1845,2020-12-21,0.91
2855,1577,2021-05-21,0.29
54,1375,2021-05-16,0.42
334,1262,2024-07-16,0.44
2715,2819,2024-10-13,0.98
930,1854,2021-11-22,0.36
274,1852,2024-10-17,0.46
4132,4542,2024-07-13,0.6
1706,1587,2024-03-26,0.8
1579,1329,2021-08-26,0.86
3229,1338,2023-04-27,0.48
60,4403,2020-02-24,0.41
4411,1889,2020-09-07,0.21
2208,2214,2020-07-04,0.25
4750,472,2022-06-28,0.8
4903,3218,2021-10-03,0.92
4925,1097,2020-04-25,0.21
1989,4067,2022-04-02,0.28
3942,3767,2021-09-24,0.63
2277,1312,2020-05-14,0.92
3146,1494,2023-05-04,0.8
2198,762,2023-03-05,0.28
3672,2801,2023-06-28,0.99
802,4801,2020-09-28,0.26
3657,623,2023-12-10,0.31
3946,3051,2021-04-20,0.75
1050,3470,2024-10-16,0.96
